id,eigenkapital_2014,loehne_und_gehaelter_2014,gesamtbezuege_2014,anzahl_vorstaende_2014,jahresueberschuss_2014,anmerkungen_2014,eigenkapital_2013,loehne_und_gehaelter_2013,gesamtbezuege_2013,anzahl_vorstaende_2013,jahresueberschuss_2013,anmerkungen_2013,sparkasse,vergebene_kredite_2014,notleidende_kredite_2014,npl_quote_2014,vergebene_unternehmenskredite_2014,notleidende_unternehmenskredite_2014,npl_quote_unternehmen_2014,vergebene_privatkredite_2014,notleidende_privatkredite_2014,npl_quote_privat_2014,vergebene_kredite_2013,notleidende_kredite_2013,npl_quote_2013,vergebene_unternehmenskredite_2013,notleidende_unternehmenskredite_2013,npl_quote_unternehmen_2013,vergebene_privatkredite_2013,notleidende_privatkredite_2013,npl_quote_privat_2013,mitarbeiter_2013,mitarbeiter_2014,bilanzsumme_2013,bilanzsumme_2014,verband,state
324,59324819.0,9672583.0,,2.0,241662.0,,59083156.0,9676757.0,465000.0,2.0,238259.0,,Sparkasse Osterode am Harz,990800000.0,16800000.0,1.38,255700000.0,12700000.0,4.97,298100000.0,4100000.0,1.38,,,,,,,,,,269.0,260.0,831500000.0,843800000.0,SVN,Niedersachsen
325,34351873.0,7231397.0,,2.0,836807.0,,33908334.0,7096243.0,,2.0,806705.0,"Jahresabschluss vom Verwaltungsrat nur bestätigt, keine Angaben über Verwendung des Jahresüberschusses.",Kreissparkasse Döbeln,1035752000.0,10264000.0,,200946000.0,6941000.0,3.45,168700000.0,,#VALUE!,,,,,,,,,,210.0,207.0,817300000.0,843800000.0,OSV,Sachsen
330,29719758.0,9305562.0,,2.0,809566.0,,28910192.0,8747919.0,,2.0,770992.0,,Sparkasse Jerichower Land,936921000.0,25948000.0,1.66,204277000.0,22137000.0,10.84,218119000.0,3631000.0,1.66,,,,,,,,,,237.0,231.0,784100000.0,812400000.0,OSV,Sachsen-Anhalt
332,70395675.0,9406425.0,,2.0,2442054.0,,68597621.0,8287831.0,,2.0,2511023.0,,Kreissparkasse Vulkaneifel,961880000.0,53190000.0,2.81,328830000.0,42300000.0,12.86,384920000.0,10810000.0,2.81,,,,,,,,,,217.0,215.0,778600000.0,799200000.0,SVRP,Rheinland-Pfalz
333,49166814.0,7557422.0,,2.0,547927.0,Fusioniert zu Sparkasse Hameln-Weserbergland ,48868886.0,7490341.0,,2.0,570512.0,,Stadtsparkasse Hameln,828912000.0,6382000.0,1.53,234985000.0,3157000.0,1.34,210452000.0,3225000.0,1.53,,,,,,,,,,203.0,194.0,756100000.0,701600000.0,SVN,Niedersachsen
334,34428173.0,6530034.0,,2.0,842268.0,,33841551.0,6366434.0,,2.0,823187.0,,Sparkasse Schopfheim-Zell,880905000.0,20550000.0,1.97,303656000.0,13148000.0,4.33,376265000.0,7402000.0,1.97,,,,,,,,,,160.0,161.0,748253101.0,738101000.0,SVBW,Baden-Württemberg
344,26841138.0,6392830.0,,2.0,895152.0,,26125986.0,6466873.0,,2.0,875396.0,,Sparkasse Prignitz,847397000.0,5659000.0,1.39,102166000.0,3110000.0,3.04,183336000.0,2545000.0,1.39,,,,,,,,,,182.0,173.0,684700000.0,717200000.0,OSV,Brandenburg
350,49000000.0,8900000.0,,2.0,1500000.0,,37556613.0,6917400.0,,2.0,1482286.0,,Sparkasse Duderstadt,760000000.0,7789000.0,0.25,271176000.0,7197900.0,2.65,237223200.0,591100.0,0.25,,,,,,,,,,184.0,180.0,636283000.0,647000000.0,SVN,Niedersachsen
351,40097717.0,6552934.0,,2.0,849884.0,,39547833.0,6447844.0,,2.0,1788424.0,,Müritz-Sparkasse,651900000.0,9000000.0,1.11,123700000.0,7700000.0,6.22,117400000.0,1300000.0,1.11,,,,,,,,,,174.0,174.0,631000000.0,638400000.0,OSV,Mecklenburg-Vorpommern
353,29524649.0,7808886.0,,2.0,291864.0,,29232785.0,7689060.0,,2.0,231660.0,,Sparkasse Parchim-Lübz,724200000.0,14500000.0,1.97,173800000.0,11400000.0,6.56,157100000.0,3100000.0,1.97,,,,,,,,,,206.0,199.0,630300000.0,654600000.0,OSV,Mecklenburg-Vorpommern
356,38244480.0,7416255.0,,2.0,1097991.0,,34146489.0,6813319.0,,2.0,1097906.0,,Sparkasse Emden,724800000.0,13000000.0,1.09,215200000.0,8600000.0,4.0,403000000.0,4400000.0,1.09,,,,,,,,,,210.0,214.0,628625000.0,632896000.0,SVN,Niedersachsen
357,31826077.0,6043385.0,,2.0,596958.0,,31229119.0,6001196.0,,2.0,582351.0,,Sparkasse Uecker-Randow,713396000.0,5298300.0,1.7,75402000.0,2797700.0,3.71,117881500.0,2000600.0,1.7,,,,,,,,,,158.0,155.0,611800000.0,614600000.0,OSV,Mecklenburg-Vorpommern
362,35171184.0,7241385.0,,2.0,761421.0,,34409763.0,7052875.0,,2.0,688313.0,,Sparkasse Scheeßel,697400000.0,13300000.0,2.26,307900000.0,8600000.0,2.79,207600000.0,4700000.0,2.26,,,,,,,,,,189.0,184.0,570300000.0,569800000.0,SVN,Niedersachsen
366,39507537.0,5217630.0,,2.0,133681.0,,39373856.0,5267851.0,,2.0,402543.0,Ausschüttung in Sicherheitsrücklage ist noch zu beschließen,Sparkasse Rothenburg,632700000.0,4093000.0,0.47,246831000.0,3360000.0,1.36,156205000.0,733000.0,0.47,,,,,,,,,,149.0,146.0,538053000.0,525977000.0,SVB,Bayern
367,23306058.0,5826583.0,,2.0,477889.0,,23022942.0,5586558.0,,2.0,486933.0,Spendensumme beträgt sich auf Ertrag der sogenannten PS Lotterie,Sparkasse Mecklenburg-Strelitz,638200000.0,5800000.0,1.75,107500000.0,2000000.0,1.86,200000000.0,3500000.0,1.75,,,,,,,,,,145.0,136.0,536600000.0,538500000.0,OSV,Mecklenburg-Vorpommern
371,32857987.0,6040462.0,,2.0,324613.0,,32533374.0,5838648.0,,2.0,373023.0,,Sparkasse Einbeck,611444000.0,15076000.0,2.1,190557000.0,11686000.0,6.13,161576000.0,3390000.0,2.1,,,,,,,,,,138.0,135.0,508408539.0,521800000.0,SVN,Niedersachsen
373,33442783.0,4637244.0,,2.0,975810.0,,32466973.0,4746067.0,,2.0,941338.0,,Stadtsparkasse Bad Pyrmont,557400000.0,5592000.0,0.25,182300000.0,2359000.0,1.29,94700000.0,233000.0,0.25,,,,,,,,,,113.0,111.0,512409645.0,512014898.0,SVN,Niedersachsen
